"AgeCurrent","Location","SchoolType","SchoolLocation","SchoolYear","SchoolYearTEXT","SchoolFinish","IdentityEthnicity","IdentityRace","IdentityReligion","IdentityDisability","IdentityNeuro","IdentitySexuality","IdentitySexualityTEXT","IdentityGender","IdentityGenderTEXT","IdentitySex","IdentitySexTEXT","MAttraction","MAttractionTEXT","MSelfIdentity","MSelfIdentityTEXT","MSAHom","MSAHomTEXT","MSAHet","MSAHetTEXT","MRHom","MRHomTEXT","MRHet","MRHetTEXT","MComingOut","MComingOutTEXT","MComingOutWho2","MComingOutWho2TEXT","MComingOut3","MComingOutFamily4","MComingOutFamily4TEXT","RPDS","ACQ","IntHom1","IntHom2","IntHom3","HSS1Q1","HSS1Q2","HSS2Q1","HSS2Q2","HSS3Q1","HSS3Q2","HSS4Q1","HSS4Q2","HSS5Q1","HSS5Q2","HSS6Q1","HSS6Q2","HSS7Q1","HSS7Q2","HSS8Q1","HSS8Q2","HSS9Q1","HSS9Q2","HSS10Q1","HSS10Q2","HSS11Q1","HSS11Q2","HSS12Q1","HSS12Q2","HSS13Q1","HSS13Q2","HSS14Q1","HSS14Q2","ACQ2","DERS1","DERS2","DERS3","DERS4","DERS5","DERS6","DERS7","DERS8","DERS9","DERS10","DERS11","DERS12","DERS13","DERS14","DERS15","DERS16","SASI1","SASI2","SASI3","SASI4","SASI5","SASI6","SASI7","SASI8","SASI9","SASI10","RaceDemog","ReligionDemog","GenderGroup","SexualityGroup","HSS1","HSS2","HSS3","HSS4","HSS5","HSS6","HSS7","HSS8","HSS9","HSS10","HSS11","HSS12","HSS13","HSS14","SMA_RSS","IntHom","Clarity","Goals","Impulse","Strategies","Nonacceptance","DERS","goodsasi","badsasi","SASI"
22,2,3,1,2,NA,"2","10,12","6",7,"6","3","6",NA,"1,3,5",NA,"2",NA,1,10,1,12,1,11,1,18,1,12,1,14,1,12,1,NA,1,1,17,3,5,1,2,2,4,2,2,2,3,4,1,1,1,1,3,3,1,1,3,3,4,3,4,4,3,3,1,1,3,2,2,2,4,4,4,5,5,5,4,4,4,5,4,4,2,4,4,3,5,4,3,5,5,4,3,3,5,5,5,"6","3","5","2",8,4,12,1,1,9,1,9,12,16,9,1,6,4,6.64285714285714,5,8,12,13,20,13,66,21,21,42
17,7,2,2,1,12,NA,"7","4",8,"5","2","4,6,8,9",NA,"2",NA,"2",NA,2,NA,1,13,2,NA,1,12,2,NA,2,NA,1,14,1,NA,2,1,15,3,5,5,6,4,3,2,5,3,6,4,5,3,3,2,2,1,4,1,1,1,6,6,6,6,6,6,6,6,4,2,6,6,4,5,5,5,5,4,2,4,5,5,4,5,2,5,4,4,5,3,2,3,3,4,2,2,2,3,1,"4","2","2","2",6,15,24,15,6,2,4,1,36,36,36,36,8,36,18.6428571428571,15,10,13,15,17,14,69,15,10,25
19,3,1,1,2,NA,"1","10","6",7,"6","1","1,2,3",NA,"3",NA,"2",NA,1,12,1,13,1,17,1,18,2,NA,2,NA,1,13,3,NA,2,1,18,3,5,2,2,3,3,1,2,2,3,3,2,2,2,1,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,4,4,4,2,2,2,3,2,2,3,2,3,2,2,1,2,2,2,2,4,1,5,5,4,4,4,5,5,4,"6","3","3","1",3,4,9,4,2,6,4,9,9,9,6,4,9,16,6.71428571428571,7,4,7,7,9,7,34,22,19,41
17,3,3,1,1,12,NA,"6","2",8,"5","2","4,6,7",NA,"2",NA,"2",NA,1,13,1,13,2,NA,1,16,2,NA,1,15,1,13,1,NA,2,2,NA,4,5,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,5,5,1,1,6,4,5,5,4,3,3,4,1,2,1,2,1,2,2,1,2,3,2,2,2,4,2,4,5,2,2,2,3,2,5,"2","2","2","2",1,1,1,1,1,1,1,1,36,30,25,1,24,25,10.6428571428571,6,6,8,3,9,7,33,14,17,31
16,8,1,3,1,11,NA,"12","6",8,"5","1","7",NA,"2,3",NA,"2",NA,1,15,1,16,1,15,2,NA,1,15,2,NA,1,16,1,NA,1,2,NA,5,5,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,4,4,3,3,4,4,3,2,2,2,4,4,4,3,2,2,3,2,1,2,2,1,2,2,2,2,2,2,3,4,3,4,3,4,3,4,3,3,3,"6","2","3","4",4,1,4,4,1,4,1,4,16,9,16,6,4,16,6.42857142857143,6,5,6,7,10,5,33,19,15,34
18,3,1,2,2,NA,"1","6","2",8,"5","2","1",NA,"2",NA,"2",NA,1,10,1,12,2,NA,2,NA,2,NA,2,NA,1,12,1,NA,1,2,NA,3,5,3,4,5,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,5,6,5,6,6,6,6,6,3,3,4,4,4,5,4,4,2,4,5,4,5,4,4,2,5,4,3,4,4,4,1,4,3,2,2,3,4,3,4,"2","2","2","1",2,4,1,1,1,4,1,1,30,30,36,36,9,16,12.2857142857143,12,9,12,9,21,12,63,16,14,30
23,7,2,2,2,NA,"3","10,12","6",8,"5","2","6,7",NA,"2",NA,"2",NA,1,11,1,15,1,14,1,16,2,NA,1,16,1,17,1,NA,1,2,NA,2,5,1,1,1,1,2,1,1,3,2,3,2,1,2,1,1,1,1,1,1,5,3,6,5,4,4,1,1,1,1,1,1,4,3,4,5,5,5,4,5,5,4,4,5,3,4,5,5,5,4,4,4,4,4,4,4,5,4,4,"6","2","2","2",2,1,6,6,2,1,1,1,15,30,16,1,1,1,6,3,7,15,15,22,12,71,20,21,41
16,8,1,1,1,11,NA,"2,7","3",2,"5","1","4,6",NA,"2",NA,"2",NA,1,10,1,14,2,NA,2,NA,2,NA,2,NA,1,13,1,NA,2,1,14,4,5,3,3,2,2,1,2,1,4,3,2,1,2,1,4,3,2,1,2,2,3,3,3,3,3,2,2,3,2,2,4,4,4,2,2,4,3,4,2,4,2,2,1,4,2,2,2,3,3,4,3,3,4,2,3,4,5,3,4,"3","1","2","2",2,2,12,2,2,12,2,4,9,9,6,6,4,16,6.28571428571429,8,4,11,9,13,5,42,16,19,35
16,7,1,1,1,11,NA,"6,10","2,6",8,"5","2","4,6",NA,"1",NA,"1",NA,1,13,1,13,2,NA,2,NA,2,NA,2,NA,1,14,1,NA,1,2,NA,3,5,3,3,2,4,4,3,2,2,2,5,3,3,3,3,3,3,1,1,2,6,5,6,5,6,6,6,6,3,3,4,3,4,3,2,4,3,5,5,4,4,4,5,2,5,5,5,5,4,4,4,4,3,4,3,4,4,4,5,"9","2","1","2",16,6,4,15,9,9,3,2,30,30,36,36,9,12,15.5,8,5,13,9,24,14,65,20,19,39
18,7,3,2,1,12,NA,"10,11,12","6",2,"6","2","1,2",NA,"2",NA,"2",NA,1,14,1,14,1,16,2,NA,1,16,1,12,1,14,1,NA,1,1,16,4,5,4,4,4,2,1,3,3,2,2,4,3,1,1,2,2,1,1,3,3,6,6,6,6,6,6,6,6,2,2,4,4,4,2,2,5,2,4,5,4,4,4,5,2,5,4,5,3,2,5,2,5,2,4,2,5,4,5,5,"6","1","2","1",2,9,4,12,1,4,1,9,36,36,36,36,4,16,14.7142857142857,12,4,12,8,21,13,58,24,15,39
